"APA2","TrainSessionComboNum","m","se","measure"
"yoked-consistent",1,31.375,2.32177195262584,"Number of Entrances"
"yoked-consistent",2,21.375,2.01722493256737,"Number of Entrances"
"yoked-consistent",3,15.375,1.40073322635988,"Number of Entrances"
"yoked-consistent",4,14.5,2.00890873006075,"Number of Entrances"
"yoked-consistent",5,16.875,0.875,"Number of Entrances"
"yoked-consistent",6,15,1.55838744494796,"Number of Entrances"
"yoked-consistent",7,13.875,1.45697215386666,"Number of Entrances"
"yoked-consistent",8,14.875,1.66301683695626,"Number of Entrances"
"yoked-consistent",9,17,1.5,"Number of Entrances"
"consistent",1,31.125,2.13338681108567,"Number of Entrances"
"consistent",2,7.125,0.854348122421835,"Number of Entrances"
"consistent",3,5.25,2.11077169368389,"Number of Entrances"
"consistent",4,3.375,1.17924764150708,"Number of Entrances"
"consistent",5,3.375,0.924613818999973,"Number of Entrances"
"consistent",6,4.25,1.67705098312484,"Number of Entrances"
"consistent",7,3.625,1.28086884574495,"Number of Entrances"
"consistent",8,4.25,2.04197033698897,"Number of Entrances"
"consistent",9,3.25,1.31949665727937,"Number of Entrances"
"yoked-conflict",1,32.3333333333333,1.15470053837925,"Number of Entrances"
"yoked-conflict",2,20.7777777777778,1.22222222222222,"Number of Entrances"
"yoked-conflict",3,13.5555555555556,1.93010586289336,"Number of Entrances"
"yoked-conflict",4,15.6666666666667,1.69967317119759,"Number of Entrances"
"yoked-conflict",5,16.1111111111111,1.75945418023479,"Number of Entrances"
"yoked-conflict",6,14.8888888888889,1.37885262733232,"Number of Entrances"
"yoked-conflict",7,14.4444444444444,1.13175271041463,"Number of Entrances"
"yoked-conflict",8,16.5555555555556,2.20549258236436,"Number of Entrances"
"yoked-conflict",9,14,1.49071198499986,"Number of Entrances"
"conflict",1,31.6666666666667,1.52752523165195,"Number of Entrances"
"conflict",2,8.33333333333333,1.10554159678513,"Number of Entrances"
"conflict",3,2.55555555555556,0.293972367896066,"Number of Entrances"
"conflict",4,2.55555555555556,1.20313376820598,"Number of Entrances"
"conflict",5,2.22222222222222,0.74120355911813,"Number of Entrances"
"conflict",6,18.4444444444444,2.82405889491974,"Number of Entrances"
"conflict",7,6.22222222222222,2.7627370575903,"Number of Entrances"
"conflict",8,5.88888888888889,2.38888888888889,"Number of Entrances"
"conflict",9,5.44444444444444,1.74889735985524,"Number of Entrances"
"yoked-consistent",1,0.0591542349515324,0.00785604911274954,"Speed"
"yoked-consistent",2,0.0311932739811995,0.00304651718966899,"Speed"
"yoked-consistent",3,0.0212308841951959,0.00206132216563394,"Speed"
"yoked-consistent",4,0.022150643738762,0.00332938559715721,"Speed"
"yoked-consistent",5,0.0212625434035222,0.00448530497441496,"Speed"
"yoked-consistent",6,0.0192547724458673,0.0026407664234918,"Speed"
"yoked-consistent",7,0.0188495901720973,0.00439135245626164,"Speed"
"yoked-consistent",8,0.0168898355818723,0.00370413609667218,"Speed"
"yoked-consistent",9,0.014938215954765,0.00214640951353479,"Speed"
"consistent",1,0.068432668405894,0.00556067988681877,"Speed"
"consistent",2,0.0371041733695748,0.00350015465969914,"Speed"
"consistent",3,0.0259690992600579,0.00174914187806421,"Speed"
"consistent",4,0.0267067590762803,0.00117651086730183,"Speed"
"consistent",5,0.0294047802767425,0.00216747023308348,"Speed"
"consistent",6,0.0261053616430687,0.00136909711729545,"Speed"
"consistent",7,0.0255652033478881,0.000963966350518047,"Speed"
"consistent",8,0.0249859287030623,0.00101797339091601,"Speed"
"consistent",9,0.0259792615909285,0.00113288638822091,"Speed"
"yoked-conflict",1,0.056432338550244,0.00399118698270954,"Speed"
"yoked-conflict",2,0.041259520599724,0.00633847168567988,"Speed"
"yoked-conflict",3,0.023004265190053,0.00179341190823217,"Speed"
"yoked-conflict",4,0.0223820360795956,0.00346310560225108,"Speed"
"yoked-conflict",5,0.020898294854581,0.00181475523398338,"Speed"
"yoked-conflict",6,0.0359506477236377,0.00273224483778118,"Speed"
"yoked-conflict",7,0.0287761543831096,0.0028048809144609,"Speed"
"yoked-conflict",8,0.0201590791290917,0.00329540494274599,"Speed"
"yoked-conflict",9,0.0221380672977953,0.00228497333068778,"Speed"
"conflict",1,0.067683309890678,0.0053318269689899,"Speed"
"conflict",2,0.047933885319524,0.00772278816565105,"Speed"
"conflict",3,0.0269486415708255,0.00124325734502889,"Speed"
"conflict",4,0.0268348080589167,0.000443180114988599,"Speed"
"conflict",5,0.0276111762784035,0.000800635390721395,"Speed"
"conflict",6,0.0366305897118628,0.00230830564028993,"Speed"
"conflict",7,0.0302938407059293,0.00206185266985007,"Speed"
"conflict",8,0.0263635889293001,0.000977934486605392,"Speed"
"conflict",9,0.0326002892245867,0.00487895136385138,"Speed"
"yoked-consistent",1,12.47375,4.17249237673702,"Time to 1st Entrance"
"yoked-consistent",2,16.53625,7.7299371503405,"Time to 1st Entrance"
"yoked-consistent",3,41.47,11.4986073690935,"Time to 1st Entrance"
"yoked-consistent",4,31.17125,6.93973276489911,"Time to 1st Entrance"
"yoked-consistent",5,15.1075,4.70743854750876,"Time to 1st Entrance"
"yoked-consistent",6,42.3,3.95956707590254,"Time to 1st Entrance"
"yoked-consistent",7,19.45875,3.81676912617203,"Time to 1st Entrance"
"yoked-consistent",8,28.89875,5.28912342099331,"Time to 1st Entrance"
"yoked-consistent",9,25.2475,6.14058098402981,"Time to 1st Entrance"
"consistent",1,6.14125,2.26826273791514,"Time to 1st Entrance"
"consistent",2,4.64,1.33308584012541,"Time to 1st Entrance"
"consistent",3,125.60375,59.7308759573634,"Time to 1st Entrance"
"consistent",4,178.42125,75.828111387285,"Time to 1st Entrance"
"consistent",5,226.39625,73.9178444031301,"Time to 1st Entrance"
"consistent",6,278.57625,77.7323004644213,"Time to 1st Entrance"
"consistent",7,175.8125,93.2551417531112,"Time to 1st Entrance"
"consistent",8,317.98,106.741674834287,"Time to 1st Entrance"
"consistent",9,359.21625,88.8664763028842,"Time to 1st Entrance"
"yoked-conflict",1,10.9511111111111,2.03834794519459,"Time to 1st Entrance"
"yoked-conflict",2,9.85111111111111,3.71997552427897,"Time to 1st Entrance"
"yoked-conflict",3,41.7077777777778,9.64855483965486,"Time to 1st Entrance"
"yoked-conflict",4,26.69,8.89109526436423,"Time to 1st Entrance"
"yoked-conflict",5,33.6366666666667,11.603675423474,"Time to 1st Entrance"
"yoked-conflict",6,20.5477777777778,4.67008499142794,"Time to 1st Entrance"
"yoked-conflict",7,11.1988888888889,2.99192034414003,"Time to 1st Entrance"
"yoked-conflict",8,40.3477777777778,14.9897055209546,"Time to 1st Entrance"
"yoked-conflict",9,55.2555555555556,16.0356139326666,"Time to 1st Entrance"
"conflict",1,9.90222222222222,3.00489728876868,"Time to 1st Entrance"
"conflict",2,7.32222222222222,1.63218818510763,"Time to 1st Entrance"
"conflict",3,83.1344444444444,47.7819395248151,"Time to 1st Entrance"
"conflict",4,267.055555555556,64.9587569605838,"Time to 1st Entrance"
"conflict",5,314.502222222222,72.996279143715,"Time to 1st Entrance"
"conflict",6,7.99222222222222,3.74519647080607,"Time to 1st Entrance"
"conflict",7,131.384444444444,59.9256923454908,"Time to 1st Entrance"
"conflict",8,254.692222222222,61.2560983308278,"Time to 1st Entrance"
"conflict",9,244.701111111111,89.7227702804039,"Time to 1st Entrance"
