"","row","column","cor","p","padj"
"1","Pick1","Lamc1",0.900958890537418,1.92234663431989e-06,0.000472871141006803
"2","Tnxb","Aldh1l1",-0.893985931312186,3.03653350597344e-06,0.000472871141006803
"3","Prkci","Tnxb",0.888434133214617,4.27499523447672e-06,0.000472871141006803
"4","Slc1a2","Aqp4",0.887748173364797,4.45401290583014e-06,0.000472871141006803
"5","Aldh1a1","Gjb6",0.887432454516644,4.53850740189665e-06,0.000472871141006803
"6","Prkci","Aldh1l1",-0.886597696701173,4.76844848074087e-06,0.000472871141006803
"7","Prkci","Rock2",0.88199808187115,6.21941079614885e-06,0.000528649917672652
"8","Aldh1a1","Aldoc",0.875726095085405,8.78357079159287e-06,0.000653278077624719
"9","Gfap","Gjb6",0.868035970393136,1.30906213400284e-05,0.000865435521924097
"10","Camk2a","Slc1a2",0.848959918127032,3.19423369439242e-05,0.00190056904816349
"11","Aldh1a1","Gfap",0.845990302855162,3.63038566750795e-05,0.00196370861106112
"12","Gfap","Aldoc",0.839089501758766,4.83963306407986e-05,0.00239965139427293
"13","Camk2a","Aqp4",0.819621458768071,0.000101906429786913,0.00466417890178564
"14","Prkci","Ptprs",0.814817110444827,0.00012083877240876,0.00479681032949945
"15","Slc1a2","Aldoc",0.81479600149017,0.000120927991499986,0.00479681032949945
"16","Slc1a2","Gfap",0.810541380737396,0.000140066255958748,0.00520871389346596
"17","Tnxb","Ptprs",0.802260198925253,0.000184570610505697,0.00645997136769938
"18","Gjb6","Aldoc",0.79832176305509,0.000209526838826468,0.00692602606120825
"19","Aldh1a1","Slc1a2",0.788507874641133,0.000284116367120113,0.00889732833876143
"20","Aqp4","Aldoc",0.779601096560313,0.000369654176538781,0.0109896902919191
"21","Rock2","Tnxb",0.777744915331009,0.000389916354281983,0.0109896902919191
"22","Camk2a","Cfl1",-0.776297804534717,0.000406341489785245,0.0109896902919191
"23","Gfap","Aqp4",0.762153775329115,0.00059913176529558,0.0154992782761248
"24","Lamc1","Aldh1l1",0.759880444905171,0.000636177163860108,0.0157718921873652
"25","Rock2","Aldh1l1",-0.758302695342168,0.000662978236690481,0.0157788820332335
"26","Nsf","Pick1",-0.748403962189186,0.000853129539436503,0.0188177155534016
"27","Gjb6","Aqp4",0.748367098059389,0.000853913142759399,0.0188177155534016
"28","Aldh1a1","Aqp4",0.744408230495981,0.000941569108756202,0.0197043501335843
"29","Prkci","Lamc1",-0.743598273395175,0.000960380090544444,0.0197043501335843
"30","Tnc","Aldh1l2",0.74036014443463,0.0010386856350264,0.0206005984280237
"31","Pick1","Pnn",0.738264437345541,0.00109209260493781,0.0209611322560644
"32","Prkci","Pick1",-0.736345717773668,0.001142938113873,0.0212515055548262
"33","Ptprs","Aldh1l1",-0.734184217282291,0.00120251774112323,0.0216817592717674
"34","Rock2","Ptprs",0.723030394098921,0.00155169002892919,0.0271545755062608
"35","Igf2bp2","Gabra1",-0.719264880526145,0.00168667872674355,0.0286735383546404
"36","Pick1","Aldh1l1",0.706984759474972,0.00219480580817066,0.0362752626628207
"37","Rock2","Aldh1a1",0.705498895926429,0.00226389754596346,0.0364059199958988
"38","Rock2","Aqp4",0.70000306435245,0.00253493647810354,0.0396917685387265
"39","Nsf","Lamc1",-0.698625717337375,0.00260681910322091,0.0397707017029857
"40","Camk2a","Aldh1a1",0.694134860033877,0.00285272857809904,0.0424343375992232
"41","Slc1a2","Gjb6",0.689988152537117,0.00309611606008175,0.0449314403841133
"42","Rock2","Gjb6",0.685229659048437,0.00339577130473301,0.0481067601503843
"43","Lamc1","Tnxb",-0.68063518114205,0.00370684917605812,0.0505064914870572
"44","Tnc","Slc1a2",0.679418070240455,0.00379298228284553,0.0505064914870572
"45","Ptprs","Aldh1a1",0.677632292400598,0.00392226527555906,0.0505064914870572
"46","Pick1","Fgfr3",0.677629052397679,0.00392250301498187,0.0505064914870572
"47","Camk2a","Igf2bp2",-0.676721028837468,0.00398958840317931,0.0505064914870572
"48","Igf2bp2","Aldh1l2",-0.668612972607185,0.00463043953583475,0.0572376101196476
"49","Cfl1","Tnc",-0.667627022172758,0.0047136855392651,0.0572376101196476
"50","Pick1","Tnxb",-0.664526174130799,0.00498334332028572,0.0593017855114
"51","Tnc","Gfap",0.662641720828835,0.00515315939892647,0.0601201929874754
"52","Tnc","Egfr",0.661350498310986,0.00527216600264246,0.060325745607159
"53","Igf2","Igf2bp2",-0.659530272113606,0.00544365065271557,0.0611126818559578
"54","Egfr","Gfap",0.654525343138862,0.00593824443990787,0.0654306563286145
"55","Lamc1","Fgfr3",0.652090005750256,0.00619153351282176,0.0669811352750717
"56","Cfl1","Slc1a2",-0.64965586441589,0.00645323026435851,0.0685655715588092
"57","Wwc1","Pin1",-0.646296831849405,0.00682875006612749,0.0712825664797518
"58","Camk2a","Gjb6",0.638877164988838,0.00771990862364769,0.0791956143287995
"59","Camk2a","Tnc",0.635141581593307,0.008202214990773,0.0827172528730498
"60","Lamc1","Pnn",0.632097015943016,0.00861270310083562,0.0845999406415548
"61","Prkcb","Lama1",0.631657567720394,0.00867327122543671,0.0845999406415548
"62","Prkci","Pnn",-0.629613007596619,0.00895951571722065,0.0855562848031931
"63","Nsf","Fgfr3",-0.628915212553843,0.0090589007438675,0.0855562848031931
"64","Igf2bp2","Gjb6",-0.625498613431451,0.00955817147282811,0.0888611254114489
"65","Pnn","Aldh1l1",0.619731357758663,0.0104500141440957,0.0951233404482929
"66","Ptprs","Aldoc",0.619099994367227,0.0105514965875417,0.0951233404482929
"67","Aldh1l2","Slc1a2",0.616060966716174,0.011050889608049,0.09797223076671
"68","Ptprs","Gfap",0.614344456050355,0.011341065514749,0.09797223076671
"69","Rock2","Aldoc",0.61336713137893,0.01150893873053,0.09797223076671
"70","Camk2a","Gfap",0.612858165823712,0.0115971328418474,0.09797223076671
"71","Limk1","Tnr",-0.612320912689485,0.0116908040074561,0.09797223076671
"72","Igf2bp2","Egfr",-0.608236884857645,0.0124224528426791,0.100827713344066
"73","Pin1","Tnr",-0.607801057364259,0.0125026035976632,0.100827713344066
"74","Camk2a","Aldh1l2",0.606520113544521,0.0127405253546535,0.100827713344066
"75","Cfl1","Igf2bp2",0.606077903455305,0.012823480197431,0.100827713344066
"76","PC1","PC2",-0.605784073036137,0.0128788339733596,0.100827713344066
"77","Pick1","Rock2",-0.603952951178678,0.0132280262862163,0.102216566757126
"78","Camk2a","Limk1",-0.600085409075091,0.013989918283897,0.106717966396393
"79","Nsf","Pnn",-0.599153108324607,0.0141786094594902,0.106788261118945
"80","Aldh1l2","Gfap",0.589113688224191,0.0163391506653294,0.119937064574093
"81","Prkci","Aqp4",0.588200813246625,0.0165476344123472,0.119937064574093
"82","Ptprs","Gjb6",0.587980754070177,0.0165982001020892,0.119937064574093
"83","Aldh1l2","Aqp4",0.587406513928174,0.0167307165708399,0.119937064574093
"84","Camk2a","Aldoc",0.584438629316445,0.0174287816737366,0.123234950115758
"85","Slc1a2","Fgfr3",0.583704088426588,0.0176049928736797,0.123234950115758
"86","Pin1","Limk1",0.579765845603701,0.0185734724395266,0.127877506064342
"87","Rock2","Pnn",-0.57927088224778,0.0186980555085676,0.127877506064342
"88","Rock2","Slc1a2",0.57539140632667,0.0196971045352212,0.133179286346098
"89","Camk2a","Tnr",0.573614070700573,0.0201683747365617,0.134833516497239
"90","Gria2","Cfl1",-0.568347169610344,0.0216162503768853,0.142907433047186
"91","Wwc1","Egfr",-0.567117531560069,0.0219655373729881,0.143620821284922
"92","Lamb1","Gabra1",0.565880786256419,0.0223212162962227,0.144360040176658
"93","PC2","Lamb1",-0.563823142925833,0.0229227946042783,0.146656589134899
"94","Tnxb","Aqp4",0.558014956983514,0.0246883612661195,0.156272073971714
"95","Prkci","Aldh1a1",0.555206466075191,0.0255786447696502,0.160203090925704
"96","Tnc","Aqp4",0.553578686547184,0.026105792812358,0.161801528368261
"97","Egfr","Slc1a2",0.549883586859072,0.0273333061417196,0.167469463091964
"98","Igf2bp2","Gfap",-0.549146949212987,0.0275832056857352,0.167469463091964
"99","Tnc","Fgfr3",0.547734378825543,0.0280672931998409,0.168687267211165
"100","Gfap","Fgfr3",0.545821193004944,0.0287332574507477,0.168830965874498
"101","Tnxb","Aldoc",0.54528182939171,0.0289231667351904,0.168830965874498
"102","Prkci","Gjb6",0.544807208373873,0.0290910710907442,0.168830965874498
"103","Prkci","Aldoc",0.544426747905135,0.0292262008152493,0.168830965874498
"104","Tnc","Aldoc",0.542734776599378,0.0298329524836314,0.169345933029442
"105","Rock2","Gfap",0.541811289932481,0.0301681443115771,0.169345933029442
"106","Cfl1","Aldh1l2",-0.541808417292233,0.0301691914304552,0.169345933029442
"107","Tnxb","Slc1a2",0.539767582019871,0.0309201293387571,0.171939036977201
"108","Nsf","Tnc",-0.538621755164354,0.0313479304332109,0.172703875997782
"109","Egfr","Fgfr3",0.533482985895201,0.0333221197086147,0.181895974556199
"110","Camk2a","Rock2",0.528769635601326,0.0352144897857523,0.189659521707152
"111","Egfr","Gjb6",0.528362074773351,0.0353818603520906,0.189659521707152
"112","Cfl1","Aldh1a1",-0.526438714009014,0.0361798492015493,0.191319607154971
