"gene","logP"
"0610007P14Rik",-1.3
"0610009B22Rik",0
"0610009L18Rik",-0.4
"0610009O20Rik",-0.2
"0610010F05Rik",0.1
"0610010K14Rik",0.1
"0610012G03Rik",1.3
"0610030E20Rik",0.2
"0610037L13Rik",-0.2
"0610040J01Rik",-0.1
"1110002E22Rik",0.2
"1110004E09Rik",0.1
"1110004F10Rik",-0.2
"1110008F13Rik",0
"1110008L16Rik",0.1
"1110008P14Rik",0.7
"1110012L19Rik",1.1
"1110017D15Rik",0
"1110032A03Rik",0.1
"1110032F04Rik",0.5
"1110034G24Rik",0.2
"1110037F02Rik",-0.7
"1110038F14Rik",-0.8
"1110051M20Rik",1.1
"1110059E24Rik",0.1
"1110059G10Rik",0.1
"1110065P20Rik",0.2
"1190002N15Rik",0.1
"1190005I06Rik",0.1
"1190007I07Rik",0
"1300017J02Rik",0.1
"1500009C09Rik",0
"1500009L16Rik",-0.1
"1500011B03Rik",-0.5
"1500011K16Rik",-0.1
"1500015O10Rik",0.4
"1520401A03Rik",-0.1
"1600002H07Rik",0.2
"1600002K03Rik",0.7
"1600012H06Rik",-0.7
"1600014C10Rik",0.2
"1700001C19Rik",-0.5
"1700001K19Rik",0.8
"1700001L19Rik",-0.2
"1700001O22Rik",0.1
"1700001P01Rik",-0.2
"1700003E16Rik",-0.1
"1700003F12Rik",0
"1700006E09Rik",0
"1700007K13Rik",0
"1700008O03Rik",NA
"1700010I14Rik",-0.1
"1700011E24Rik",0
"1700011H14Rik",0
"1700011M02Rik",NA
"1700013D24Rik",0.4
"1700013F07Rik",0.3
"1700014D04Rik",0
"1700015E13Rik",-0.1
"1700016D06Rik",0.2
"1700016K19Rik",-0.2
"1700017B05Rik",0
"1700019A02Rik",0
"1700019B03Rik",0
"1700019D03Rik",0
"1700019O17Rik",-0.1
"1700020A23Rik",0.1
"1700020D05Rik",-0.1
"1700020L24Rik",0
"1700020N01Rik",-0.1
"1700021F05Rik",0.2
"1700022I11Rik",-0.1
"1700023F06Rik",0.1
"1700024P16Rik",0
"1700025G04Rik",-0.8
"1700028J19Rik",0.1
"1700028K03Rik",0
"1700028P14Rik",-0.1
"1700029F12Rik",0
"1700029H14Rik",0
"1700029I15Rik",0
"1700029J07Rik",0.1
"1700030J22Rik",-0.3
"1700030K09Rik",1.1
"1700034I23Rik",-0.2
"1700034J05Rik",0.1
"1700037C18Rik",0
"1700037H04Rik",0.4
"1700040L02Rik",-0.1
"1700047I17Rik2",0
"1700048O20Rik",-0.2
"1700061G19Rik",0.6
"1700064H15Rik",-0.1
"1700066B19Rik",0.4
"1700066M21Rik",0.3
"1700067K01Rik",0
"1700088E04Rik",0
"1700092M07Rik",0.2
"1700093K21Rik",0.1
"1700102P08Rik",0
"1700109H08Rik",-0.6
"1700112E06Rik",0
"1700113H08Rik",0
"1700123K08Rik",0
"1700123L14Rik",0.1
"1700123O20Rik",0.1
"1700128F08Rik",0.6
"1810009A15Rik",0
"1810010H24Rik",-0.3
"1810011H11Rik",0
"1810011O10Rik",0
"1810013L24Rik",0.8
"1810022K09Rik",0.1
"1810024B03Rik",-0.1
"1810026J23Rik",0.1
"1810030O07Rik",0.9
"1810032O08Rik",0.1
"1810037I17Rik",0.1
"1810041L15Rik",-0.5
"1810043G02Rik",0.1
"1810043H04Rik",-0.2
"1810049J17Rik",-1.2
"1810055G02Rik",-0.6
"2010005H15Rik",0
"2010107E04Rik",0.3
"2010107G23Rik",-0.1
"2010109A12Rik",0.1
"2010109I03Rik",0.6
"2010111I01Rik",0.6
"2010300C02Rik",-0.4
"2010315B03Rik",-0.3
"2200002D01Rik",-0.2
"2210010C04Rik",0.2
"2210013O21Rik",0.1
"2210016F16Rik",0.6
"2210016L21Rik",-0.1
"2210017I01Rik",-0.7
"2210408I21Rik",0.1
"2210418O10Rik",0
"2300009A05Rik",0
"2310009B15Rik",-0.2
"2310011J03Rik",-0.8
"2310022A10Rik",-0.1
"2310022B05Rik",0
"2310030G06Rik",0
"2310033P09Rik",0.4
"2310035C23Rik",0
"2310036O22Rik",-1.1
"2310039H08Rik",-0.1
"2310057J18Rik",0.1
"2310057M21Rik",0.1
"2310061I04Rik",0
"2410002F23Rik",0
"2410004B18Rik",-0.1
"2410004P03Rik",-0.1
"2410015M20Rik",-0.4
"2410016O06Rik",-0.5
"2410089E03Rik",-0.1
"2410131K14Rik",0.2
"2410141K09Rik",-0.1
"2510002D24Rik",0.9
"2510009E07Rik",0.5
"2510039O18Rik",-0.5
"2610001J05Rik",-0.1
"2610002M06Rik",-0.9
"2610008E11Rik",-0.4
"2610020H08Rik",0
"2610021A01Rik",-0.1
"2610042L04Rik",0.1
"2610044O15Rik8",0.1
"2610301B20Rik",0.3
"2610507B11Rik",0
"2610524H06Rik",0
"2610528A11Rik",0
"2700049A03Rik",-0.3
"2700060E02Rik",-0.4
"2700062C07Rik",0.6
"2700081O15Rik",0
"2700094K13Rik",0.2
"2700097O09Rik",1.2
"2810004N23Rik",0.8
"2810006K23Rik",0
"2810021J22Rik",-0.3
"2810403A07Rik",-1.5
"2810417H13Rik",-1.3
"2810428I15Rik",-0.7
"2810459M11Rik",0.1
"2810474O19Rik",-0.1
"2900011O08Rik",0.1
"2900026A02Rik",1.1
"2900055J20Rik",-0.2
"3010026O09Rik",0.1
"3110001I22Rik",0.3
"3110002H16Rik",-0.6
"3110009E18Rik",0
"3110018I06Rik",-0.1
"3110021N24Rik",-0.1
"3110035E14Rik",0.5
"3110040N11Rik",0
"3110043O21Rik",0.2
"3110062M04Rik",0.2
"3110070M22Rik",-0.1
"3110079O15Rik",0.1
"3110082I17Rik",-0.2
"3110082J24Rik",0.2
"3300002I08Rik",0.3
"3425401B19Rik",-0.1
"3632451O06Rik",0.8
"3830406C13Rik",0.3
"3830408C21Rik",0.4
"4430402I18Rik",0
"4833420G17Rik",-0.7
"4833423E24Rik",-0.1
"4833439L19Rik",-0.1
"4921501E09Rik",0
"4921507P07Rik",0.1
"4921509C19Rik",0
"4921513D11Rik",0.1
"4921513I03Rik",-0.5
"4921524J17Rik",0.1
"4921528I07Rik",-0.1
"4921530L21Rik",0
"4921536K21Rik",0
"4922502D21Rik",0
"4930402H24Rik",0.2
"4930404N11Rik",0.2
"4930415O20Rik",-0.1
"4930426L09Rik",-0.1
"4930427A07Rik",0.4
"4930430A15Rik",-0.1
"4930430F08Rik",-0.1
"4930432K21Rik",0.1
"4930442H23Rik",0
"4930444G20Rik",0
"4930444P10Rik",-0.1
"4930447A16Rik",0
"4930447C04Rik",0.3
"4930451G09Rik",0
"4930451I11Rik",0.2
"4930452B06Rik",0
"4930453N24Rik",0.3
"4930455H04Rik",NA
"4930467E23Rik",0.2
"4930470P17Rik",0.2
"4930474N05Rik",0.2
"4930486L24Rik",0
"4930502E18Rik",0
"4930503L19Rik",-0.2
"4930507D05Rik",-0.1
"4930512M02Rik",0.1
"4930518I15Rik",-0.3
"4930519G04Rik",0
"4930522L14Rik",-0.4
"4930523C07Rik",0.1
"4930524B15Rik",0.1
"4930524J08Rik",-0.1
"4930535I16Rik",NA
"4930538K18Rik",-0.4
"4930539E08Rik",-0.1
"4930544D05Rik",0
"4930548H24Rik",0
"4930550C14Rik",0
"4930562C15Rik",0.1
"4930563I02Rik",0.1
"4930578C19Rik",0
"4930578G10Rik",0
"4930579G24Rik",0.1
"4930590J08Rik",0
"4930595D18Rik",0.2
"4931406B18Rik",-0.1
"4931406C07Rik",-0.1
"4931406P16Rik",0
"4931414P19Rik",-0.2
"4931422A03Rik",-0.2
"4931423N10Rik",-0.2
"4931428F04Rik",0.1
"4931428L18Rik",-0.1
"4931429L15Rik",0
"4931440F15Rik",-0.1
"4932411N23Rik",-0.1
"4932414N04Rik",0
"4932438A13Rik",0
"4932438H23Rik",0
"4932443I19Rik",0.2
"4933402D24Rik",-0.2
"4933402N03Rik",-0.1
"4933405L10Rik",0
"4933406P04Rik",0
"4933407L21Rik",0.7
"4933408B17Rik",0.1
"4933408J17Rik",-0.1
"4933411K16Rik",-0.1
"4933413G19Rik",-0.2
"4933415A04Rik",-0.4
"4933416C03Rik",-0.1
"4933424G06Rik",0.8
"4933427D14Rik",-0.3
"4933427I04Rik",0
